Artist(s),song,text,Genre,Album,emotion,Energy,Danceability,Positiveness,Acousticness,Instrumentalness,Speechiness,Liveness,Tempo,Loudness (db),Popularity,track_id
Dum Dum Girls,Jail La La,"Oh go-oh-ohd how did I get here, I do not know I just woke up at this strange show This woman's clearly out of her mind She's covered in shit and high as a kite  La la la la la, la la la la la La la la la la, la la la  Don't have no phone, no numbers by heart Hope that my husband has had a head start Don't tell my father, don't tell my mother They'd die to claim me, way too fun was their daughter  Oh in these stairs a holding cell Soon I'll be in county jail In the stairs your holding cell Soon I'll be in county jail  Someone tell my baby Or else he won't know I need saving (repeat) La la la la la, la la la la la La la la la la, la la la  In these stairs a holding cell Soon I'll be in county jail (repeat)  Someone tell my baby Or else he won't know I need saving (repeat)  Someone tell my baby Or else he won't know I need saving (repeat)",rock,I Will Be,fear,95,36,42,0,1,6,37,85,-4.24db,19,131
Todd Dulaney,Your Great Name,"[Verse] We love to call Your name It's something we cannot explain That happens when we proclaim Your great name, Your great name We love to call Your name It's something we cannot explain That happens when we proclaim Your great name, Your great name!  [Chorus] King Jesus, no other name King Jesus, none stronger We call on You, things change, yes When we call on Your name  [Verse] We love to call Your name It's something we cannot explain That happens when we proclaim Your great name, Your great name! [Chorus] King Jesus, no other name King Jesus, none stronger We call on You, things change, yes When we call on Your name King Jesus, no other name King Jesus, none stronger We call on You, things change, yes When we call on Your name  [Bridge 1] There is power in the name of Jesus, power in Your name There is power in the name of Jesus, power in Your name There is power in the name of Jesus, power in Your name There is power in the name of Jesus, power in Your name  [Bridge 2] Things change when we call You, Jesus Things change when we call Your name Things change when we call You, Jesus Things change when we call Your name  [Bridge 3] I'm free when I call You, Jesus I'm free when I call Your name I'm free when I call You, Jesus I'm free when I call Your name [Refrain 1] When I call Your name  (when I call Your name) When I call Your name (when I call Your name) Demons tremble at the name (when I call Your name) I feel much stronger when I call You (when I call Your name) I'm healed when, I'm healed when (when I call Your name) I'm set free, I'm set free when (when I call Your name) I'm alive when I call Your name (when I call Your name) Yes, God, yes, God (when I call Your name) I feel much better when I call (when I call Your name) I feel much stronger when I call (when I call Your name) I feel my blessing when I call (when I call Your name) I feel my victory when I call (when I call Your name)  [Interlude]  [Refrain 2] I feel a shifting when I call (when I call Your name) I feel a breaking when I call (when I call Your name) I feel a shifting when I call (when I call Your name) I feel a breaking when I call Your (when I call Your name)  [Interlude]  [Outro] There is breakthrough at the Name (when I call Your name) There is healing in the Name (when I call Your name) They come to church when we call Your name, hey (when I call Your name) They come to church when we call Your (when I call Your name) Let me hear you shout for the King Hallelujah",hip hop,Your Great Name,joy,87,53,26,1,0,5,39,103,-5.95db,43,132
Nazareth,Called Her Name,"Called her name but the wind blew strong,    I called in vain though I tried so long,    Called the sea to bring her home,    But the sea don't hear and I'm still alone    I feel an emptiness inside    Something within me I can't hide        Standing here looking at the sky,    But the light I see can't tell me why,    I feel an emptiness inside,    Something within me I can't hide.        Every time I stop to think    That's the time I get lonely    That's the time it hurts the most    Every time I get lonely.        What went wrong, who am I to blame,    Did I take too long, to call her name,        I feel an emptiness inside    Something within me I can't hide.    ","rock,classic rock,hard rock",Exercises,sadness,68,40,47,14,1,4,15,112,-8.16db,8,133
The Gits,Bob Cousin O.,"[Verse 1] Awaken in a state that's not my own The only thing that's real Is that amongst these walls I whisper to a fear that seeps in my soul Waiting on my conscience, but I think I know  [Chorus] It hurts me to be angry Kills me to be kind But my only torment Is my own disguise Waiting on these favors they only come to show There's not much in them for you to hold  [Verse 2] Awaken to the sudden fact that I've Simply wasted chances, but I'm not yet to die Waiting for my temperament to calm Well maybe they can't hear the cracks behind these eyes [Chorus] It hurts me to be angry Kills me to be kind But my only torment Is my own disguise Waiting on the favors they only come to show There's not much in them for you to hold  [Chorus 2] It starts to become something I can't touch but you can feel But there's something else surrounding me It's not easy to see  [Verse 3] Awaken to the only chance I've got Hide behind these walls I look through the cracks I see the same mistakes that I once made All that I can tell you there is a price to pay  [Chorus] It hurts me to be angry Kills me to be kind But my only torment Is my own disguise Waiting on these favors they only come to show There's not much in them for you to hold [Chorus 2] It starts to become something I can't touch but you can feel But there's something else surrounding me It's not easy to see  [Solo]  [Chorus] It hurts me to be angry Kills me to be kind But my only torment Is my own disguise Waiting on these favors they only come to show There's not much in them at all","punk,punk rock",Enter: The Conquering Chicken,anger,91,46,77,0,0,7,43,154,-5.26db,26,134
Danger Twins,Brave,I will be brave I will be brave It's the blood in my system That fuels my mission I've set my intention Gotta steal this moment There's fear but I own it Show the world I want it When the clock's running out When the rain's coming down When you just wanna shout I will be brave Not gonna break Don't care what they say I will be brave I will be great Do what it takes I'll make my own fate I will be brave I will be brave I will be brave I'm diggin' deeper than the ocean Put my dreams in motion Cuz I'm one of the chosen Scared but not stopping Got the target locked in I'm a legend walkin' I will be brave Not gonna break Don't care what they say I will be brave I will be great Do what it takes I'll make my own fate I will be brave I will be brave I will be brave I will be brave I will be brave This is my reason It's why my heart's beatin' Just takes is believin' I will be brave Not gonna break Don't care what they say I will be brave I will be great Do what it takes I'll make my own fate I will be brave I will be brave Not gonna break Don't care what they say I will be brave I will be brave,hip hop,Just Got Real,joy,60,63,18,16,0,3,9,90,-10.2db,20,135
DOLF,Seventeen,We were only seventeen Living in a hazy teenage dream Just like in a movie scene Getting high on life and nicotine  That was back then tho Let’s up the tempo You’re kinda losing speed  Your bad behavior Puts you in danger If you don’t see what I need  We were kids And it was enough just to love Isn’t it Just about time to grow up  Every time I show you love love love You just gotta go and fuck it up The way you’re treating me has got to stop What are u doing? What are u doing? Every time I show you love love love You just gotta go and screw it up Acting like a child I’ve had enough What are u doing? What are u doing? You’re not Seventeen You’re not Seventeen  Laying on the couch all day Smoking weed and playing video games Really nothing more to say If you don’t shape up you just can’t stay  Pull it together Like now or never You are not Seventeen  Your bad behavior Puts you in danger If you don’t see what I need  We were kids And it was enough just to love Isn’t it Just about time to grow up Every time I show you love love love You just gotta go and fuck it up Way you’re treating me has got to stop What are u doing? What are u doing?  Every time I show you love love love You just gotta go and screw it up Acting like a child I’ve had enough What are u doing? What are u doing? You’re not Seventeen You’re not Seventeen You’re not Seventeen  Anymore Anymore Anymore Seventeen Anymore Anymore Anymore  Every time I show you love love love You just gotta go and fuck it up The way you’re treating me has got to stop What are u doing? What are u doing? Every time I show you love love love You just gotta go and screw it up Acting like a child I’ve had enough What are u doing? What are u doing? You’re not Seventeen You’re not Seventeen You’re not Seventeen,hip hop,Seventeen,sadness,61,80,64,15,0,17,60,98,-6.19db,20,136
Emma Ruth Rundle,Hand of God,"I am a desperate love, always am needing it I wish the Hand of God would come And relieve me of this way  I can’t touch anyone To touch without feeling Somehow is always wronged To those who receive me in this way  Come, bring your sons and let them see Come and lay them down in front of me I can’t do anyone right, I used to be somehow better Some are just born to night Some wear the scarlet letter  [Chorus] I wish the Hand of God Would cover the faces and cover the traces Of lovers lost I wear the colors of Babylon Into a world, dressed as the girl I know is gone I was true, I sang violins, touched and the like So slowly, the soft singing will leave you in time Look through me now, see violence replaces the light  [Chorus] I wish the Hand of God Would cover the faces and cover the traces Of lovers lost I wear the colors of Babylon Into a world, dressed as the girl I know is gone","ambient,folk,experimental",Marked for Death,anger,42,58,8,11,4,3,15,123,-9.19db,29,137
"Young Thug,Gunna",Twin Tower,"[Intro] Yeah, good Actavis drankin' mothafucka, by the way You dig? Yeah, yeah Woah, woah  [Refrain] My car 911, I was in a twin tower (Woo) I sold a triple-double on the red, yeah (Yeah, yeah, yeah) I drip my sauce, confetti with the shit, yeah (Yeah, yeah, yeah, yeah) Got twenty bitches in the country like Big KRIT, yeah (Yee, yee)  [Chorus] Yeah, money on top of these niggas, money on top of these bitches (Money on, money on) Money on top of the skit, money on top of the lick (Lick, yeah) Money on top of his neck, I'm 'bout to buy, zero credit (Cash out) Money on top of these hoes, money on top of the shit (Woo)  [Verse 1] Money on top of this weed, money on top of these bricks (What's happenin'?) I put Chanel on my seat (Yeah), I put chinchilla on, it's mink (Yeah) Dasani water my fingers, this money callin' my people You know I'm prepared for the reaper Chanel on the back of the seats (Slatt) I Chanel crop the Bentley seats, yeah Ed Hardy tattoo on my feet, yeah I'm the real definition of street, yeah This the real definition of fleek I was just poppin' on everything (Everything) I got that pop on me and everything (Everything) I'm on the block, I got every chain (Everything) I know the feds know everything Got a feelin' they tellin' them everything (Everything) Havin' sex with a red thing (With a red thing) I remain saying nothing, I remain to say nothing [Chorus] Yeah, money on top of these niggas, money on top of these bitches (Top of these, top of these) Yeah, money on top of the skit, money on top of the lick Yeah, money on top of his neck, I'm 'bout to buy, zero credit Yeah, money on top of these hoes, money on top of the shit  [Refrain] My car 911, I was in a twin tower (Skrrt) I sold a triple-double on the red, yeah (Yeah) I'm drippin' my sauce, confetti with the shit, yeah (Yeah-yeah) Got twenty bitches in the country like Big KRIT, yeah (Hey)  [Verse 2] I smoked him and left the driveway full of bricks (Skrrt) So rich, I could pay everybody momma rent (Yeah) I'm Kodak in the court, I ain't going for shit (Fuck it) I was thinkin' about her right when I seen my bitch (Woo, woo) They'll take you off, don't say I won't, yeah (Yeah) Ten karats in my ears, I make it split (Woo, split) Ten karats in my ears, it's causin' a split (Yeah-yeah) Let your panties hit the ground when I walk in, lil' bitch (Yeah) Hold a hundred kilos, fuck a pack, huh Who gonna stop me if I'm dead, huh? (Who?) Who the fuck gon' stop me when I'm mad, huh? (Tell me, who?) Christopher Columbus with a bag, huh (Who?) I just got the new V-12 Jag (Skrrt, woo) I just flipped it out with paper tags (Yeah) Pull up on the opps and do 'em bad (Do-do-do-do) Twelve rack crop bag (Twelve racks) Floyd on they ass (Floyd Mayweather) I go Floyd, make my bitches call me daddy (Go Floyd, Go Floyd) She ain't got no home training, she was suckin' dick in that caddy I was 'bout to pull up, air that shit, what's the addy? (Go Floyd, Go Floyd) [Refrain] My car 911, I was in a twin tower (Skrrt) I sold a triple-double on the red, yeah (Yeah) I'm drippin' my sauce, confetti with the shit, yeah (Shit) Got twenty bitches in the country like Big KRIT, yeah  [Chorus] Yeah, money on top of these niggas, money on top of these bitches Money on top of the skit, money on top of the lick Money on top of his neck, I'm 'bout to buy, zero credit Money on top of these hoes, money on top of the shit",hip hop,So Much Fun,joy,65,86,56,6,0,24,8,112,-8.04db,68,138
Van Morrison,Carry On Regardless,"Carry on regardless, in spite of the music business scam    Carry on regardless, in spite of all the petty minded little women and men    Carry on regardless, when everybody don't give a damn        Carry on and start all over again, in spite of all the TV trash    Carry on regardless, in spite of all the media rehash    And the white wash, the brain wash and all the white trash        Carry on regardless, baby, baby, baby, baby, baby, baby when your on a roll    Carry on regardless, just to satisfy your soul        Carry on up the Khyber, carry on, carry on Dick    Carry on up the Khyber Pass, won't you carry on, carry on Dick    Carry on you got to make it last    Carry on you gotta make it stick        Carry on baby when, when you're on a roll    Carry on baby, baby, baby, baby, baby    Got to satisfy your soul        Carry on up the Khyber Pass, carry on doctor, carry on nurse    Carry on regardless, carry on doctor, carry on nurse    Carry on till you get what your after    Carry on till it can't get much worse        Carry on regardless    Carry on up, carry on up, carry on up    Carry on up, carry on up, carry on up    Carry on do the dog, carry on do the crazy pup, alright    Carry on forever    Carry on until you make it stick    ","rock,jazz,folk",Magic Time,anger,79,61,85,67,9,3,41,150,-5.82db,18,139
Paul McCartney,Check My Machine,"[Intro] Hi, George! Morning, Terry Hi, George! Morning, Terry Oo-ee No, no, no, no, no, no, no, no, no, no, no, no! Sticks and stones may break my bones But names will never hurt me  Check my machine Check my machine Check my machine Come on, check my machine  Ba-dah bap, ba-dah bap Ba-dah bap, ba-dah ba Ba-dah bop, ba-dah bop  Check my machine Check my machine Check my machine Oh, check, ow! My machine My baby, baby My little baby, won't you come? I bought it of you a long time ago I don't know what's wrong, so wrong with me I want you to check my machine Check it, my machine Check it, my machine Check my machine Oh, baby, won't you come? Thought I bought it of you a long time ago And then since we're here, won't you guarantee? Hey, baby, I try to bring you 'round to me, call me  Check my machine Check my machine Check my machine, oh Check my machine  Bap ba ba dah dah dah Bap ba ba dah dah dah Bap, bap bap dah dah dah Come on, and check my machine  Check my machine Check my machine Come on, check my machine Oh, check my machine I want you to check my machine I want you to check, hoo! My machine [Ad libs]  Check, check my machine, check it Check, check it, my machine, come on Check it, check it, my machine Check it out, check it out now Check, check, check, check it Check it out for me  Come on and check my machine I wanna check my machine I wanna check it, check it out, check it out Check it out, check it out Check it, check it all out  Check, machine Come on, check my machine Check my machine!","pop rock,folk,pop",McCartney II (Special Edition),anger,71,66,90,27,1,3,57,82,-8.44db,37,140
"Asian Doll,Stunna 4 Vegas",I Love It,"[Intro: Asian Da Brat] Glizzy, what you cooking up? And I love it, ayy (And I love that shit) You don't like his bitch, you can't touch her, ayy, ayy They can't stand my nigga and I love it, ayy (I love that shit) Glizzy, what you cooking up?  [Verse 1: Asian Da Brat] You know it ain't safe if you out here tryna win some' It shoot fifty pointers, fifty shots up on that TEC drum Get back, bitch, you tweaking, wanna hang so you can tell some' Money over niggas, my Glock so overprotective Von just popped a nigga, fold him up like he a pretzel If he with his bitch, I drop that Asian Doll and press 'em Bitch, I been this way since I got jumped, I was like 7 (On gang) Mama hop out with that thirty, bitch, we gonna nail some' Rather do my time than go out sad just like a snitch Treat my Glock just like a toddler, I'ma carry on my hip Dripping, you know if I fuck him, he gon' drown aboard the ship Crippin', you know you ain't never had the pretty rich bitch My brother maintain, he ain't switch up like a ho (Hell nah) Lil' bitch, I know I rap, but I'll still kick you in your throat I'm the only shorty who was 'bout it, slapping rap hoes The only bitch who stayed down, all my opps still broke 187, dizzy off medicine Beam on that TEC, get sent up to heaven But you was in school so we shot off his letterman Not with the extras, don't call tryna settle shit Say what you want, I just know we heard some of it Dissing my homies, you gon' need the reverend Bitch not important, get blew like a flute Sassy hood bitch, need a nigga who shoot [Chorus: Asian Da Brat & Stunna 4 Vegas] They can't stand my nigga and I love it (Yeah) You can't stand his bitch, but I swear you never touch her (Uh, uh) Started getting money, 'member riding 'round in the bucket (Uh-huh) All that sneaky talk they doing, they don't say that shit in public (Hah, 4X) They can't stand my nigga and I love it, ayy (Oh, you love that shit?) They can't stand my nigga and I love it, ayy (Oh, you love that shit?) They can't stand my nigga and I love it (Uh, uh) You don't like his bitch, but I swear you never touch her  [Verse 2: Stunna 4 Vegas] I walk out the door, I need my pole, I'ma touch it I whip dick out on your ho, won't do no fucking 'til she suck it (You dig?) All my lil' niggas on go, I give 'em the green light, they won't talk, they up it (Gang) Money talk, they switchin' the subject (Uh-huh) I'm spending these rap niggas' budgets (Cash) I go to the mall (Uh) And I go spend what you niggas signed for (Uh) I blew your advance times four (Gang) Diss Stunna, you gon' need Geico (Yeah) Don't touch me, we slidin', Tahoe She give me heed in the Jeep, I'm dodgin' potholes (Thot thot) I do this shit with my eyes closed Lil' freak tried to fuck me with the blindfold (Uh, uh) She a freak freak We don't diss, we street sweep (Get him out of here) Beat a nigga like Chris did RiRi (Fuck) She get fucked in the shower like Mimi (Thot thot) I'm turned up, you see me (Hah) Takin' off on these niggas, it's easy (Uh-huh) My lil' nigga slime, sleezy (Slime) He'll knock you off for some Yeezys (Get him out of here) We finna go play get back (Uh) We ain't finna do no grieving (Come here) I'm ridin' rich on a bitch, I'm changing my ho like every season (Uh) Kick her out, she ain't doin' no teasing (Uh) Make her suck that dick like she teething (Fuck) That lil' nigga cold, freezing It's 4X, that lil' nigga that got your ho eating (Hah) [Chorus: Asian Da Brat & Stunna 4 Vegas] They can't stand my nigga and I love it (Uh-huh) You can't stand his bitch, but I swear you never touch her (Huh?) Started getting money, 'member riding 'round in the bucket (4X) All that sneaky talk they doing, they don't say that shit in public (4X, hell nah) They can't stand my nigga and I love it, ayy (Oh, you love that shit?) They can't stand my nigga and I love it, ayy (And I love that shit) They can't stand my nigga and I love it (Fuck) You don't like his bitch, but I swear you never touch her (Uh)",hip hop,UNFUCCWITABLE,sadness,57,86,70,33,0,56,8,150,-6.88db,8,141
"Fredo,Sus",Double Tap,"[Intro: Suspect & Broadday] Ay, yo, Broadday Yo, yo, wagwan? My fucking nigga, ayy, tell 'em something, man Yo, free the fucking guys Real fucking steppers Real criminals We cause chaos and abuse our fucking ZKs, innit? You know me, fam Free the guys, free the opps so they can drop Woosh Woosh, trust me  [Verse 1: Suspect] Can't get to the 4s, it's calm 'Cah bro PG and Lil Dotz from Zart Now shells flying out like Mario Kart Roll up broad day, tryna bun mans clart Come by next day like, ""Just me this time"" Two hands on the twelve at midnight Drench my zombie, wet my samurai sword, I'm bored, I shh with my flick knife Ain't tryna incite, just tryna show you my insight Come outside, might tear up your inside Buck it to them, it's on sight See red 'til I see red, don't think twice If you wan' fly bluе, we'll turn that purple Swing and ching, ain't into the vеrbal Don't wanna see AM like Özil Rusty one, could've got down a Nazi, it's been around since Winston Churchill If SWavey revs up the German, there's no way you could jump that hurdle Opps get spot from far, then hit by the car, jump out, get close and personal Don't fuck with rats, but I grip two swords like Raph from the Ninja Turtles [Chorus: Suspect & Fredo] Double tap, then double back Opps get popped like bubble wrap Broadday and Blitz, that's double waps I like money and guns and bubble backs I can't wait 'til gang got another pack I can't wait 'til gang got another plaque I can't wait for a cheque, had to hit the trap And that's a ho, why you cuddled that? Double tap, then double back Opps get popped like bubble wrap Mix up the food, man double that I like money and guns and bubble back I can't wait 'til gang got another pack Can't wait 'til gang got another plaque Can't wait for no cheque, had to hit the trap And that girl's a ho, how you cuddled that?  [Verse 2: Fredo] New strap, man's not Revuilder More tools than Bob the builder Free up the guys, they locked the field up My white girl flies, I shot Matilda How much packs got made with ease? Spilled his hands, we baked his bean Got all drugs from ABC This is PG to AGB PG, yeah, we're active, fam Them man bang on Snap' and 'Gram This ain't weed, I'm bagging grams But still I get my packs in 'Dam And we're the ones that pack your gang Shootin' shit up back to back Lil' bro wan' chat, then pack your bags Cling from razors, plastic bags They're hooked on the end of the pipe My work starts at the end of the night How you leaving your friend on a glide? He come to my ends for the end of his life Introduce man to the end of my knife It's up to God if the brudda survives I'll take your food, but never advice I wanted the whole thing, never a slice [Chorus: Suspect & Fredo] Double tap, then double back Opps get popped like bubble wrap Broadday and Blitz, that's double waps I like money and guns and bubble backs I can't wait 'til gang got another pack I can't wait 'til gang got another plaque I can't wait for a cheque, had to hit the trap And that's a ho, why you cuddled that? Double tap, then double back Opps get popped like bubble wrap Mix up the food, man double that I like money and guns and bubble back I can't wait 'til gang got another pack Can't wait 'til gang got another plaque Can't wait for no cheque, had to hit the trap And that girl's a ho, how you cuddled that?",hip hop,Independence Day,fear,82,73,57,19,0,36,39,146,-6db,46,142
Polo G,Tunnel,"Pull up twenty deep Bring the party to you Y'all hoes got me weak Don't make a nigga have to choose  Take me back I remember So I wanna go back It's that feelin' I said take me back I can hear the rhythm call to me  I know you seekin' answers In a doubtful place I know you need defenses This is not a race  I said take me back That's what I say I knew you were the one, always That's what I say Billie Jean fever, no freezer Pants hold that crease up He's a, she's a Make you call Jesus Make the fall lose us You know I'm with the seasons You see me like Yeezus  Said take me back I remember So I wanna go back Wanna go back, wanna go back Back, back  Is this where we belong? Still smokin' strong Still lookin' lost Still feel so wrong Feelin' so right Follow the night Bump in the night I drive through the night As on my own The custom Lambo The custom Lambo The custom pheromone The custom Lambo I know Why he comin' at me with the flow, no I may throw Why you tappin' at me like the floor Girl, you wanna know I bet you really wanna know Can't stand me, can't blam me, can't handle me, no Ah, shit, she find her way down Down to the party She find her way down Act naughty  Now she walk to me, walk to me To the left, and she lookin' at me right  Said take me back I remember So I wanna go back It's that feelin'  The way you movin' She like honking You know I like that  Said take me back",hip hop,Die A Legend,love,49,71,62,13,0,25,9,74,-9.83db,68,143
Neil Young,Bad News,"Bad news is come to town    He's walking    Three feet off the ground    He's ordering another round.    Bound by his own ideas,    Lost, doesn't know    Where she is found.        Bad news is fighting mad    He went and lost    The biggest prize    He ever had    But a prizefighter    Can't be sad    When he smiles under    Golden lights and lamps    Taking daylight fights    Again and again.        Bad news is come to town    He's walking    Three feet off the ground    He's ordering another round.    Bound by his own ideas,    Lost, doesn't know    Where she is gone.        Bad news is fighting mad    He went and lost    The biggest prize    He ever had    But a prizefighter    Can't be sad    When he smiles under    Golden lights and lamps    Taking daylight fights    Again and again.        Bad news is come to town.    ","country,classic rock,hard rock","Eat, Pray, Love",anger,52,55,81,29,2,3,11,171,-8.75db,75,144
Ruby Fields,Trouble,"[Verse 1] I'm young, you're all old Never do what I'm told I'm trying to be a part Of this world, a head start It's hard, I'm lonely Or maybe, I'm toey I'm done, I'm tired Give us a beer, just got fired  [Pre-Chorus] Well, my life's pretty shit, but I don't mind being alone It makes it easy when I never have a phone And I've got needs and wants similar to your own But I know  [Chorus] That I'm just too much trouble Trouble Trouble Trouble [Verse 2] I'm gross, bacterial Not wife material Don't want romantic dates Just a root, a best mate A dirty truck, a comfy swag A big dog, some trackie-dacks Pretty busy, so I'm not fussed Don't need love, just something that's enough  [Pre-Chorus] Well, maybe it's because I give it up too soon I don't like waiting, can't do chasing, yeah, that's true You only date supermodels, so we'll stay friends That's fine, they're cool, I'll just never be one of them  [Chorus] I'm too much trouble Trouble Trouble Trouble  [Verse 3] I try, remind myself That it's good for mental health To not care, to think I'm hot But I can't have sex unless the lights are off So I play to heaps of crowds But I'm anxious, I'm a coward Forgot to shave, now I got stubble 'Cause smooth legs are too much trouble",hip hop,Permanent Hermit,joy,84,41,41,0,0,6,17,95,-5db,37,145
Iceage,Catch It,"Reeling in the line Fully saccharine All these stagnant words which I confide Perish in the night Anyway so Here we go again Always faintly preying Did I note a tremble on your arm Thereupon alarmed Just give in  Make me real You reel in then you catch it Catch it, catch it, catch it, catch it, catch it Come make me real You reel in then you catch it Catch it, catch it, catch it, catch it  Time moves forward quickly Moves in twenty-four Hour segments racing for the soul To grab chokehold Of the minute hands Left without a trace Just a fleeting face Flicker as a figment once before my eyes Perished in the night You want it, you want it, you want it again Why don't you come and ask me, I adore you my friend I said you need it, you need it, you need it again Trust me, these arbitrary thrills will never fail to transcend  Make me real You reel in then you catch it Catch it, catch it, catch it, catch it, catch it Come make me real You reel in then you catch it Catch it, catch it, catch it, catch it  Come make me real You reel in then you catch it Catch it, catch it, catch it, catch it, catch it Come make me real You reel in then you catch it Catch it, catch it, catch it, catch it  I said you want it, you want it, you want it again Why don't you come and touch it, I adore you, my friend I said you need it, you need it, you need it again Trust me, these arbitrary thrills, they never fail to transcend Make me real You reel in then you catch it Catch it Catch it","punk rock,post-punk,post-hardcore",Beyondless,sadness,88,19,66,0,0,6,17,143,-4.81db,22,146
"Gucci Mane,Young Thug,Young LA",Tell Nobody,"[Chorus: Young Thug] I'ma ride it right, I'm gon take good care your body You my girl and I ain't gon never tell nobody I'ma ride it right, I'm gon take good care your body I'ma ride it right, Imma do it slow, yeah I won't tell nobody no I won't tell nobody no Ain't gone tell nobody no I won't tell nobody no  [Verse 1: Young Thug] Bitches want to fuck a Thug Bitches want to be my girl Bitches need to find their love Bitches want to kill these sluts Leaving Onyx, pocket full of Magic City money Body perfect, thick, her hips look like a dummy Far from worthless, chrome hearts specs got me looking real nerdy When she leave from Thug world No longer do she want a motherfucker earthling Throw that pussy at the Thug, I might miss Tryna hit it I want it too bad, do what ever to get it She don't care about no cash, make you feel small like a midget Just like Shawty Lo, baby let's g-g-get it [Chorus: Young Thug] I'ma ride it right, I'm gon take good care your body You my girl and I ain't gon never tell nobody I'ma ride it right, I'm gon take good care your body I'ma ride it right, Imma do it slow, yeah I won't tell nobody no I won't tell nobody no Ain't gone tell nobody no I won't tell nobody no  [Verse 2: Yung LA] OG [?] want to be I just made your girl my new main thing You a [?] that red head Tell [?] I'm from the [?] Chain of blood around your jewelry, look like you Soo-Woo You got everything, we need more of you You thick like cameltoe, ooh Look at that [?] on her, make a nigga put his head on her [?] throw these bands on her, fuck around put my name on her  [Chorus: Young Thug] I'ma ride it right, I'm gon take good care your body You my girl and I ain't gon never tell nobody I'ma ride it right, I'm gon take good care your body I'ma ride it right, Imma do it slow, yeah I won't tell nobody no I won't tell nobody no Ain't gone tell nobody no I won't tell nobody no",hip hop,The Purple Album,sadness,78,66,70,40,0,4,11,130,-3.82db,14,147
Steven Curtis Chapman,His Strength is Perfect,"I can do all things Through Christ who gives me strength But sometimes I wonder what He can do through me No great success to show No glory on my own Yet in my weakness He is there to let me know  His strength is perfect when our strength is gone He'll carry us when we can't carry on Raised in His power, the weak become strong His strength is perfect, His strength is perfect  We can only know The power that He holds When we truly see how deep our weakness goes His strength in us begins Where ours comes to an end He hears our humble cry and proves again  His strength is perfect when our strength is gone He'll carry us when we can't carry on Raised in His power, the weak become strong His strength is perfect, His strength is perfect","christian,country",Real Life Conversations,joy,13,39,14,73,0,3,13,90,-20.45db,24,148
Rod Stewart,Some Guys Have All the Luck,"[Chorus] Some guys have all the luck Some guys have all the pain Some guys get all the breaks Some guys do nothing but complain  [Verse 1] Alone in a crowd on a bus after work and I'm dreaming The guy next to me has a girl in his arms, my arms are empty How does it feel when the girl next to you says she loves you? It seems so unfair when there's love everywhere but there's none for me  [Chorus] Some guys have all the luck Some guys have all the pain Some guys get all the breaks Some guys do nothing but complain  [Verse 2] Someone to take on a walk by the lake, Lord, let it be me Someone who's shy, someone who'll cry at sad movies I know I would die if I ever found out she was fooling me You're just a dream and as real as it seems, I ain't that lucky [Chorus] Some guys have all the luck Some guys have all the pain Some guys get all the breaks Some guys do nothing but complain  [Verse 3] All of my friends have a ring on their finger, they have someone Someone to care for them, it ain't fair, I got no one The car overheated, I called up and pleaded, there's help on the way I called you collect, you didn't accept, you had nothing to say  [Chorus] Some guys have all the luck Some guys have all the pain Some guys get all the breaks Some guys do nothing but complain  [Outro] But if you were here with me I'd feel so happy I could cry You are so dear to me I just can't let you say goodbye","rock,pop,classic rock",Camouflage (Expanded Edition),anger,62,75,91,14,0,4,5,126,-15db,53,149
Toad The Wet Sprocket,The Moment,"[Verse 1] Shame doesn't become you There are no mistakes in the final view No blame, how could it be so wrong That your heart was braver than your will was strong?  [Chorus] For every path you follow There's another left behind Every door you don't kick open There's a million more to try For everything you've taught me Here's the one I learned the best: There is nothing but the moment Don't you waste it on regret  [Verse 2] I'll go, but who will you have to be? Will you just get by or get what you need? Just know that I don't need to fit in But is there room for you in your life with him? [Chorus]  [Bridge] It's out of my hands, out of my hands But I miss my friend, I miss my friend This is the price of honesty But I'm not sorry I'm not sorry  [Chorus]  [Outro] Oh, the moment is happening now The moment is passing How could it be so wrong?",alternative rock,New Constellation,joy,80,51,43,16,0,4,31,137,-4.82db,30,150
Mumford & Sons,Friend of the Devil,"[Verse 1] I lit out from Reno I was trailed by twenty hounds Didn't get to sleep last night 'till the morning came around  [Chorus] Set out runnin' but I take my time A friend of the devil is a friend of mine If I get home before daylight I just might get some sleep tonight  [Verse 2] Ran into the devil, babe, he loaned me twenty bills I spent the night in Utah in a cave up in the hills  [Chorus] Set out runnin' but I take my time A friend of the devil is a friend of mine If I get home before daylight I just might get some sleep tonight [Verse 3] I ran down to the levee but the devil caught me there He took my twenty dollar bill and vanished in the air  [Chorus] Set out runnin' but I take my time A friend of the devil is a friend of mine If I get home before daylight I just might get some sleep tonight  [Verse 4] Got two reasons why I cry away each lonely night: The first one's named sweet Anne Marie And she's my hearts delight The second one is prison, babe, the sheriff's on my trail And if he catches up with me, I'll spend my life in jail  Got a wife in Chino, babe, and one in Cherokee The first one says she's got my child, but it don't look like me  [Chorus] Set out runnin' but I take my time A friend of the devil is a friend of mine If I get home before daylight I just might get some sleep tonight Set out runnin' but I take my time A friend of the devil is a friend of mine If I get home before daylight I just might get some sleep tonight","rock,pop rock,alt-country",Babel (Deluxe Version),sadness,77,49,39,1,1,3,20,131,-5.14db,70,151
